Solving multi-robot motion planning problem...
Solving frequency = 81.6727 Hz
Solving frequency = 86.0363 Hz
Solving frequency = 84.1114 Hz
Solving frequency = 84.9473 Hz
Solving frequency = 75.861 Hz
Solving frequency = 85.0268 Hz
Solving frequency = 83.1393 Hz
Solving frequency = 78.5916 Hz
Solving frequency = 81.8063 Hz
Solving frequency = 80.9454 Hz
Solving frequency = 77.1367 Hz
Solving frequency = 77.7907 Hz
Solving frequency = 79.1139 Hz
Solving frequency = 72.7326 Hz
Solving frequency = 79.3966 Hz
Solving frequency = 76.9053 Hz
Solving frequency = 81.9135 Hz
Solving frequency = 81.5328 Hz
Solving frequency = 81.3537 Hz
Solving frequency = 79.968 Hz
Solving frequency = 81.8331 Hz
Solving frequency = 81.6927 Hz
Solving frequency = 80.3213 Hz
Solving frequency = 81.3405 Hz
Solving frequency = 76.0919 Hz
Solving frequency = 82.3588 Hz
Solving frequency = 80.3923 Hz
Solving frequency = 84.0124 Hz
Solving frequency = 84.1751 Hz
Solving frequency = 79.0952 Hz
Solving frequency = 77.3455 Hz
Solving frequency = 71.5001 Hz
Solving frequency = 77.3635 Hz
Solving frequency = 79.0451 Hz
Solving frequency = 80.7363 Hz
Solving frequency = 84.9329 Hz
Solving frequency = 77.6759 Hz
Solving frequency = 83.7731 Hz
Solving frequency = 80.8407 Hz
Solving frequency = 76.5052 Hz
Solving frequency = 81.8934 Hz
Solving frequency = 76.3242 Hz
Solving frequency = 75.3693 Hz
Solving frequency = 81.6793 Hz
Solving frequency = 81.3471 Hz
Solving frequency = 69.701 Hz
Solving frequency = 81.2018 Hz
Solving frequency = 81.1754 Hz
Solving frequency = 78.6164 Hz
Solving frequency = 80.032 Hz
Solving frequency = 80.8146 Hz
Solving frequency = 81.9202 Hz
Solving frequency = 80.4959 Hz
Solving frequency = 82.1355 Hz
Solving frequency = 81.1227 Hz
Solving frequency = 84.0266 Hz
Solving frequency = 84.6382 Hz
Solving frequency = 81.5594 Hz
Solving frequency = 79.8531 Hz
Solving frequency = 83.1532 Hz
Solving frequency = 83.3403 Hz
Solving frequency = 79.5229 Hz
Solving frequency = 81.1293 Hz
Solving frequency = 82.447 Hz
Solving frequency = 73.1797 Hz
Solving frequency = 73.3676 Hz
Solving frequency = 78.8581 Hz
Solving frequency = 79.8722 Hz
Solving frequency = 81.5661 Hz
Solving frequency = 82.8775 Hz
Solving frequency = 84.2531 Hz
Solving frequency = 81.4133 Hz
Solving frequency = 81.7595 Hz
Solving frequency = 81.3603 Hz
Solving frequency = 80.9061 Hz
Solving frequency = 76.3184 Hz
Solving frequency = 81.6993 Hz
Solving frequency = 82.2504 Hz
Solving frequency = 73.5998 Hz
Solving frequency = 79.8913 Hz
Solving frequency = 79.6305 Hz
Solving frequency = 81.0504 Hz
Solving frequency = 76.0514 Hz
Solving frequency = 79.0389 Hz
Solving frequency = 72.7061 Hz
Solving frequency = 78.7712 Hz
Solving frequency = 84.7314 Hz
Solving frequency = 80.2246 Hz
Solving frequency = 81.3935 Hz
Solving frequency = 77.3515 Hz
Solving frequency = 82.713 Hz
Solving frequency = 79.8467 Hz
Solving frequency = 77.6277 Hz
Solving frequency = 81.1886 Hz
Solving frequency = 80.952 Hz
Solving frequency = 82.6583 Hz
Solving frequency = 80.3406 Hz
Solving frequency = 79.7003 Hz
Solving frequency = 72.1033 Hz
Solving frequency = 76.8521 Hz
Solving frequency = 72.7537 Hz
Solving frequency = 79.2833 Hz
Solving frequency = 78.703 Hz
Solving frequency = 76.6166 Hz
Solving frequency = 71.8597 Hz
Solving frequency = 75.5858 Hz
Solving frequency = 80.6842 Hz
Solving frequency = 75.5515 Hz
Solving frequency = 74.6659 Hz
Solving frequency = 77.3575 Hz
Solving frequency = 83.1186 Hz
Solving frequency = 76.3767 Hz
Solving frequency = 79.9744 Hz
Solving frequency = 80.7624 Hz
Solving frequency = 80.5607 Hz
Solving frequency = 83.9137 Hz
Solving frequency = 78.5299 Hz
Solving frequency = 82.1693 Hz
Solving frequency = 75.9994 Hz
Solving frequency = 75.8035 Hz
Solving frequency = 81.215 Hz
Solving frequency = 70.9824 Hz
Solving frequency = 52.3972 Hz
Solving frequency = 53.0335 Hz
Solving frequency = 69.7058 Hz
Solving frequency = 68.4978 Hz
Solving frequency = 56.7279 Hz
Solving frequency = 47.3015 Hz
Solving frequency = 77.1188 Hz
Solving frequency = 69.9545 Hz
Solving frequency = 78.4252 Hz
Solving frequency = 75.683 Hz
Solving frequency = 78.0579 Hz
Solving frequency = 77.2559 Hz
Solving frequency = 75.4318 Hz
Solving frequency = 77.8392 Hz
Solving frequency = 76.929 Hz
Solving frequency = 79.5735 Hz
Solving frequency = 78.3638 Hz
Solving frequency = 79.0514 Hz
Solving frequency = 73.5186 Hz
Solving frequency = 75.1936 Hz
Solving frequency = 81.0045 Hz
Solving frequency = 78.235 Hz
Solving frequency = 81.6393 Hz
Solving frequency = 78.765 Hz
Solving frequency = 78.0884 Hz
Solving frequency = 82.4674 Hz
Solving frequency = 77.6337 Hz
Solving frequency = 77.7303 Hz
Solving frequency = 84.4167 Hz
Solving frequency = 79.6876 Hz
Solving frequency = 80.186 Hz
Solving frequency = 79.5355 Hz
Solving frequency = 76.4877 Hz
Solving frequency = 84.488 Hz
Solving frequency = 81.7929 Hz
Solving frequency = 80.2826 Hz
Solving frequency = 80.8146 Hz
Solving frequency = 77.7907 Hz
Solving frequency = 80.5867 Hz
Solving frequency = 78.8146 Hz
Solving frequency = 80.4505 Hz
Solving frequency = 46.4943 Hz
Solving frequency = 72.0877 Hz
Solving frequency = 68.5401 Hz
Solving frequency = 63.488 Hz
Solving frequency = 72.8014 Hz
Solving frequency = 79.5039 Hz
Solving frequency = 83.3611 Hz
Solving frequency = 82.4334 Hz
Solving frequency = 81.4332 Hz
Solving frequency = 79.8658 Hz
Solving frequency = 85.4044 Hz
Solving frequency = 78.2105 Hz
Solving frequency = 80.5997 Hz
Solving frequency = 77.1129 Hz
Solving frequency = 84.5523 Hz
Solving frequency = 82.3452 Hz
Solving frequency = 83.7802 Hz
Solving frequency = 83.5771 Hz
Solving frequency = 83.8997 Hz
Solving frequency = 58.8512 Hz
Solving frequency = 75.643 Hz
Solving frequency = 62.162 Hz
Solving frequency = 72.2126 Hz
Solving frequency = 79.8977 Hz
Solving frequency = 66.9389 Hz
Solving frequency = 78.7154 Hz
Solving frequency = 73.7626 Hz
Solving frequency = 68.1663 Hz
Solving frequency = 78.125 Hz
Solving frequency = 79.3147 Hz
Solving frequency = 57.3723 Hz
Solving frequency = 79.1014 Hz
Solving frequency = 77.5374 Hz
Solving frequency = 78.6473 Hz
Solving frequency = 79.1515 Hz
Solving frequency = 77.7907 Hz
Solving frequency = 75.3125 Hz
Solving frequency = 78.3392 Hz
Solving frequency = 80.6842 Hz
Solving frequency = 79.1703 Hz
Solving frequency = 83.696 Hz
Solving frequency = 83.8223 Hz
Solving frequency = 84.3313 Hz
Solving frequency = 78.4929 Hz
Solving frequency = 76.4351 Hz
Solving frequency = 84.5094 Hz
Solving frequency = 83.0151 Hz
Solving frequency = 82.3791 Hz
Solving frequency = 81.9001 Hz
Solving frequency = 81.2282 Hz
Solving frequency = 79.0576 Hz
Solving frequency = 78.3024 Hz
Solving frequency = 74.6436 Hz
Solving frequency = 73.078 Hz
Solving frequency = 71.5308 Hz
Solving frequency = 79.5102 Hz
Collision constraint violation: Vehicles 0 and 6 will be 0.0788221m apart @ t = 22.51s
Collision constraint violation: Vehicles 0 and 12 will be 0.121316m apart @ t = 20.37s
Collision constraint violation: Vehicles 1 and 3 will be 0.115558m apart @ t = 4.65s
Collision constraint violation: Vehicles 1 and 13 will be 0.0518501m apart @ t = 19.41s
Collision constraint violation: Vehicles 1 and 19 will be 0.115564m apart @ t = 17.79s
Collision constraint violation: Vehicles 2 and 8 will be 0.127195m apart @ t = 20.69s
Collision constraint violation: Vehicles 2 and 26 will be 0.127704m apart @ t = 9.51s
Collision constraint violation: Vehicles 2 and 44 will be 0.0854785m apart @ t = 12.27s
Collision constraint violation: Vehicles 3 and 45 will be 0.0635402m apart @ t = 12.49s
Collision constraint violation: Vehicles 4 and 10 will be 0.115496m apart @ t = 21.98s
Collision constraint violation: Vehicles 5 and 11 will be 0.0703654m apart @ t = 21.23s
Collision constraint violation: Vehicles 5 and 17 will be 0.102916m apart @ t = 18.99s
Collision constraint violation: Vehicles 5 and 33 will be 0.135767m apart @ t = 9.77s
Collision constraint violation: Vehicles 6 and 8 will be 0.149315m apart @ t = 4.66s
Collision constraint violation: Vehicles 6 and 36 will be 0.142848m apart @ t = 9.87s
Collision constraint violation: Vehicles 8 and 9 will be 0.123978m apart @ t = 2.7s
Collision constraint violation: Vehicles 8 and 14 will be 0.0984123m apart @ t = 18.23s
Collision constraint violation: Vehicles 8 and 20 will be 0.103243m apart @ t = 16.44s
Collision constraint violation: Vehicles 8 and 38 will be 0.144249m apart @ t = 10.21s
Collision constraint violation: Vehicles 8 and 44 will be 0.0537546m apart @ t = 11.63s
Collision constraint violation: Vehicles 9 and 11 will be 0.0463886m apart @ t = 6.21s
Collision constraint violation: Vehicles 9 and 21 will be 0.0851703m apart @ t = 16.52s
Collision constraint violation: Vehicles 9 and 27 will be 0.114941m apart @ t = 8.2s
Collision constraint violation: Vehicles 9 and 39 will be 0.0764145m apart @ t = 9.8s
Collision constraint violation: Vehicles 9 and 45 will be 0.0888152m apart @ t = 11.68s
Collision constraint violation: Vehicles 10 and 16 will be 0.113145m apart @ t = 16.61s
Collision constraint violation: Vehicles 11 and 17 will be 0.0622775m apart @ t = 16.91s
Collision constraint violation: Vehicles 11 and 47 will be 0.113293m apart @ t = 11.05s
Collision constraint violation: Vehicles 13 and 31 will be 0.0617122m apart @ t = 8.29s
Collision constraint violation: Vehicles 14 and 15 will be 0.13706m apart @ t = 2.73s
Collision constraint violation: Vehicles 14 and 20 will be 0.0589122m apart @ t = 14.26s
Collision constraint violation: Vehicles 14 and 32 will be 0.0604021m apart @ t = 8.43s
Collision constraint violation: Vehicles 14 and 38 will be 0.0843502m apart @ t = 9.15s
Collision constraint violation: Vehicles 14 and 44 will be 0.0956596m apart @ t = 10.47s
Collision constraint violation: Vehicles 15 and 17 will be 0.110995m apart @ t = 4.94s
Collision constraint violation: Vehicles 15 and 21 will be 0.122949m apart @ t = 14.63s
Collision constraint violation: Vehicles 15 and 27 will be 0.0758189m apart @ t = 7.43s
Collision constraint violation: Vehicles 15 and 39 will be 0.101777m apart @ t = 8.76s
Collision constraint violation: Vehicles 16 and 22 will be 0.0764628m apart @ t = 13.68s
Collision constraint violation: Vehicles 16 and 34 will be 0.0654622m apart @ t = 8.46s
Collision constraint violation: Vehicles 16 and 46 will be 0.0154922m apart @ t = 10.45s
