Solving multi-robot motion planning problem...
Collision constraint violation: Vehicles 2 and 8 will be 0.131429m apart @ t = 22.14s
Collision constraint violation: Vehicles 2 and 14 will be 0.0871785m apart @ t = 20.08s
Collision constraint violation: Vehicles 2 and 20 will be 0.0852979m apart @ t = 18.38s
Collision constraint violation: Vehicles 2 and 32 will be 0.134507m apart @ t = 10.62s
Collision constraint violation: Vehicles 2 and 44 will be 0.0988688m apart @ t = 12.83s
Collision constraint violation: Vehicles 3 and 9 will be 0.121433m apart @ t = 21.76s
Collision constraint violation: Vehicles 3 and 21 will be 0.140105m apart @ t = 18.11s
Collision constraint violation: Vehicles 3 and 27 will be 0.133458m apart @ t = 9.52s
Collision constraint violation: Vehicles 3 and 33 will be 0.113236m apart @ t = 10.07s
Collision constraint violation: Vehicles 3 and 39 will be 0.113138m apart @ t = 11.53s
Collision constraint violation: Vehicles 3 and 45 will be 0.140149m apart @ t = 12.27s
Collision constraint violation: Vehicles 4 and 5 will be 0.0888785m apart @ t = 2.5s
Collision constraint violation: Vehicles 4 and 10 will be 0.0968696m apart @ t = 21.99s
Collision constraint violation: Vehicles 4 and 16 will be 0.115391m apart @ t = 20.24s
Collision constraint violation: Vehicles 4 and 22 will be 0.0996263m apart @ t = 18.25s
Collision constraint violation: Vehicles 4 and 46 will be 0.102997m apart @ t = 12.39s
Collision constraint violation: Vehicles 5 and 11 will be 0.101657m apart @ t = 22.11s
Collision constraint violation: Vehicles 5 and 17 will be 0.137213m apart @ t = 20.18s
Collision constraint violation: Vehicles 5 and 23 will be 0.0683022m apart @ t = 18.32s
Collision constraint violation: Vehicles 5 and 41 will be 0.12452m apart @ t = 11.78s
Collision constraint violation: Vehicles 6 and 18 will be 0.14054m apart @ t = 14.63s
Collision constraint violation: Vehicles 6 and 30 will be 0.106142m apart @ t = 8.86s
Collision constraint violation: Vehicles 6 and 36 will be 0.118458m apart @ t = 10.29s
Collision constraint violation: Vehicles 7 and 11 will be 0.0519424m apart @ t = 5.09s
Collision constraint violation: Vehicles 7 and 13 will be 0.0670822m apart @ t = 17.58s
Collision constraint violation: Vehicles 7 and 19 will be 0.079173m apart @ t = 15.79s
Collision constraint violation: Vehicles 7 and 31 will be 0.0857067m apart @ t = 9.54s
Collision constraint violation: Vehicles 7 and 37 will be 0.123552m apart @ t = 10.34s
Collision constraint violation: Vehicles 8 and 14 will be 0.0511335m apart @ t = 16.85s
Collision constraint violation: Vehicles 8 and 20 will be 0.0934675m apart @ t = 14.81s
Collision constraint violation: Vehicles 8 and 26 will be 0.10044m apart @ t = 7.95s
Collision constraint violation: Vehicles 8 and 32 will be 0.0371734m apart @ t = 8.7s
Collision constraint violation: Vehicles 8 and 38 will be 0.0420562m apart @ t = 9.68s
Collision constraint violation: Vehicles 8 and 44 will be 0.137164m apart @ t = 10.85s
Collision constraint violation: Vehicles 9 and 15 will be 0.0775354m apart @ t = 17.51s
Collision constraint violation: Vehicles 9 and 21 will be 0.0767496m apart @ t = 15.81s
Collision constraint violation: Vehicles 9 and 33 will be 0.0999752m apart @ t = 8.87s
Collision constraint violation: Vehicles 9 and 45 will be 0.0942764m apart @ t = 10.95s
Collision constraint violation: Vehicles 10 and 16 will be 0.0666809m apart @ t = 17.76s
Collision constraint violation: Vehicles 10 and 22 will be 0.0654323m apart @ t = 16.11s
Collision constraint violation: Vehicles 10 and 46 will be 0.115164m apart @ t = 11.16s
Collision constraint violation: Vehicles 11 and 17 will be 0.078258m apart @ t = 17.89s
Collision constraint violation: Vehicles 11 and 23 will be 0.127537m apart @ t = 15.84s
Collision constraint violation: Vehicles 11 and 35 will be 0.0821384m apart @ t = 9.88s
Collision constraint violation: Vehicles 11 and 41 will be 0.0704199m apart @ t = 10.58s
Collision constraint violation: Vehicles 12 and 30 will be 0.0835719m apart @ t = 8.08s
Collision constraint violation: Vehicles 12 and 36 will be 0.120405m apart @ t = 9.62s
Collision constraint violation: Vehicles 12 and 42 will be 0.0750966m apart @ t = 10.26s
Collision constraint violation: Vehicles 14 and 20 will be 0.103942m apart @ t = 12.75s
Collision constraint violation: Vehicles 14 and 38 will be 0.0740441m apart @ t = 8.85s
Collision constraint violation: Vehicles 14 and 44 will be 0.0819548m apart @ t = 9.98s
Collision constraint violation: Vehicles 15 and 17 will be 0.0906466m apart @ t = 5.39s
Collision constraint violation: Vehicles 15 and 21 will be 0.134944m apart @ t = 14.03s
Collision constraint violation: Vehicles 15 and 45 will be 0.134585m apart @ t = 10.14s
Collision constraint violation: Vehicles 16 and 17 will be 0.118961m apart @ t = 2.4s
Collision constraint violation: Vehicles 16 and 22 will be 0.120433m apart @ t = 13.63s
Collision constraint violation: Vehicles 16 and 46 will be 0.0252174m apart @ t = 10.41s
Collision constraint violation: Vehicles 17 and 23 will be 0.0779941m apart @ t = 15.08s
Collision constraint violation: Vehicles 17 and 29 will be 0.0849457m apart @ t = 8.1s
Collision constraint violation: Vehicles 17 and 41 will be 0.0624393m apart @ t = 9.96s
Collision constraint violation: Vehicles 18 and 19 will be 0.0483955m apart @ t = 3.05s
Collision constraint violation: Vehicles 18 and 22 will be 0.136877m apart @ t = 5.34s
Collision constraint violation: Vehicles 19 and 23 will be 0.0731586m apart @ t = 4.57s
Collision constraint violation: Vehicles 19 and 31 will be 0.0506531m apart @ t = 7.24s
Collision constraint violation: Vehicles 19 and 37 will be 0.0569284m apart @ t = 7.84s
Collision constraint violation: Vehicles 20 and 21 will be 0.0845992m apart @ t = 2.37s
Collision constraint violation: Vehicles 20 and 22 will be 0.0575651m apart @ t = 5.75s
Collision constraint violation: Vehicles 20 and 32 will be 0.148217m apart @ t = 7.38s
Collision constraint violation: Vehicles 20 and 38 will be 0.0735145m apart @ t = 8.6s
Collision constraint violation: Vehicles 20 and 44 will be 0.0503638m apart @ t = 9.71s
Collision constraint violation: Vehicles 21 and 45 will be 0.0776094m apart @ t = 9.44s
Collision constraint violation: Vehicles 22 and 40 will be 0.112146m apart @ t = 8.46s
Collision constraint violation: Vehicles 23 and 29 will be 0.128038m apart @ t = 6.8s
Collision constraint violation: Vehicles 23 and 35 will be 0.0611625m apart @ t = 7.51s
Collision constraint violation: Vehicles 24 and 25 will be 0.10822m apart @ t = 2.63s
Collision constraint violation: Vehicles 24 and 30 will be 0.131639m apart @ t = 13.82s
Collision constraint violation: Vehicles 24 and 36 will be 0.134789m apart @ t = 15.83s
